日期,单位净值,累计净值,涨跌幅
2019-07-15,1.0,1.0,--
2019-07-19,1.0003,1.0003,--
2019-07-26,1.0012,1.0012,--
2019-08-02,0.9976,0.9976,--
2019-08-09,0.9917,0.9917,--
2019-08-15,0.9945,0.9945,--
2019-08-16,0.9944,0.9944,-0.0101
2019-08-19,0.9988,0.9988,0.4425
2019-08-20,0.9982,0.9982,-0.0601
2019-08-21,0.9979,0.9979,-0.0301
2019-08-22,0.9982,0.9982,0.0301
2019-08-23,0.9987,0.9987,0.0501
2019-08-26,0.9963,0.9963,-0.2403
2019-08-27,1.0001,1.0001,0.3814
2019-08-28,0.9998,0.9998,-0.03
2019-08-29,0.9974,0.9974,-0.24
2019-08-30,0.9961,0.9961,-0.1303
2019-09-02,0.9992,0.9992,0.3112
2019-09-03,0.9986,0.9986,-0.06
2019-09-04,1.0029,1.0029,0.4306
2019-09-05,1.0047,1.0047,0.1795
2019-09-06,1.0068,1.0068,0.209
2019-09-09,1.0103,1.0103,0.3476
2019-09-10,1.0075,1.0075,-0.2771
2019-09-11,1.008,1.008,0.0496
2019-09-12,1.0119,1.0119,0.3869
2019-09-16,1.0131,1.0131,0.1186
2019-09-17,1.0041,1.0041,-0.8884
2019-09-18,1.0076,1.0076,0.3486
2019-09-19,1.0091,1.0091,0.1489
2019-09-20,1.0087,1.0087,-0.0396
2019-09-23,1.0004,1.0004,-0.8228
2019-09-24,1.004,1.004,0.3599
2019-09-25,0.9978,0.9978,-0.6175
2019-09-26,0.9974,0.9974,-0.0401
2019-09-27,0.9957,0.9957,-0.1704
2019-09-30,0.9951,0.9951,-0.0603
2019-10-08,1.0001,1.0001,0.5025
2019-10-09,1.0083,1.0083,0.8199
2019-10-10,1.0122,1.0122,0.3868
2019-10-11,1.0168,1.0168,0.4545
2019-10-14,1.0267,1.0267,0.9736
2019-10-15,1.0224,1.0224,-0.4188
2019-10-16,1.0224,1.0224,0
2019-10-17,1.0195,1.0195,-0.2836
2019-10-18,1.0085,1.0085,-1.079
2019-10-21,1.0123,1.0123,0.3768
2019-10-22,1.0146,1.0146,0.2272
2019-10-23,1.0086,1.0086,-0.5914
2019-10-24,1.0105,1.0105,0.1884
2019-10-25,1.0168,1.0168,0.6235
2019-10-28,1.0188,1.0188,0.1967
2019-10-29,1.0116,1.0116,-0.7067
2019-10-30,1.0081,1.0081,-0.346
2019-10-31,1.0039,1.0039,-0.4166
2019-11-01,1.0155,1.0155,1.1555
2019-11-04,1.0171,1.0171,0.1576
2019-11-05,1.0248,1.0248,0.7571
2019-11-06,1.02,1.02,-0.4684
2019-11-07,1.023,1.023,0.2941
2019-11-08,1.0192,1.0192,-0.3715
2019-11-11,1.0031,1.0031,-1.5797
2019-11-12,1.0037,1.0037,0.0598
2019-11-13,0.9991,0.9991,-0.4583
2019-11-14,0.9984,0.9984,-0.0701
2019-11-15,0.9948,0.9948,-0.3606
2019-11-18,1.0099,1.0099,1.5179
2019-11-19,1.0204,1.0204,1.0397
2019-11-20,1.0145,1.0145,-0.5782
2019-11-21,1.014,1.014,-0.0493
2019-11-22,1.0129,1.0129,-0.1085
2019-11-25,1.0268,1.0268,1.3723
2019-11-26,1.0265,1.0265,-0.0292
2019-11-27,1.0228,1.0228,-0.3604
2019-11-28,1.0184,1.0184,-0.4302
2019-11-29,1.0189,1.0189,0.0491
2019-12-02,1.0198,1.0198,0.0883
2019-12-03,1.0235,1.0235,0.3628
2019-12-04,1.0209,1.0209,-0.254
2019-12-05,1.0235,1.0235,0.2547
2019-12-06,1.0273,1.0273,0.3713
2019-12-09,1.0318,1.0318,0.438
2019-12-10,1.0302,1.0302,-0.1551
2019-12-11,1.032,1.032,0.1747
2019-12-12,1.0316,1.0316,-0.0388
2019-12-13,1.0438,1.0438,1.1826
2019-12-16,1.0476,1.0476,0.3641
2019-12-17,1.0551,1.0551,0.7159
2019-12-18,1.0524,1.0524,-0.2559
2019-12-19,1.0556,1.0556,0.3041
2019-12-20,1.0548,1.0548,-0.0758
2019-12-23,1.0435,1.0435,-1.0713
2019-12-24,1.0458,1.0458,0.2204
2019-12-25,1.0439,1.0439,-0.1817
2019-12-26,1.0536,1.0536,0.9292
2019-12-27,1.0568,1.0568,0.3037
2019-12-30,1.0705,1.0705,1.2964
2019-12-31,1.0764,1.0764,0.5511
2020-01-02,1.0877,1.0877,1.0498
2020-01-03,1.0863,1.0863,-0.1287
2020-01-06,1.0818,1.0818,-0.4143
2020-01-07,1.0883,1.0883,0.6009
2020-01-08,1.0744,1.0744,-1.2772
2020-01-09,1.0843,1.0843,0.9214
2020-01-10,1.0806,1.0806,-0.3412
2020-01-13,1.0836,1.0836,0.2776
2020-01-14,1.0845,1.0845,0.0831
2020-01-15,1.0782,1.0782,-0.5809
2020-01-16,1.0716,1.0716,-0.6121
2020-01-17,1.0713,1.0713,-0.028
2020-01-20,1.0707,1.0707,-0.056
2020-01-21,1.0548,1.0548,-1.485
2020-01-22,1.0563,1.0563,0.1422
2020-01-23,1.0283,1.0283,-2.6508
2020-02-03,0.9495,0.9495,-7.6631
2020-02-04,0.9684,0.9684,1.9905
2020-02-05,0.9776,0.9776,0.95
2020-02-06,0.9865,0.9865,0.9104
2020-02-07,0.9812,0.9812,-0.5373
2020-02-10,0.9945,0.9945,1.3555
2020-02-11,1.0018,1.0018,0.734
2020-02-12,1.006,1.006,0.4192
2020-02-13,1.0019,1.0019,-0.4076
2020-02-14,1.0091,1.0091,0.7186
2020-02-17,1.0271,1.0271,1.7838
2020-02-18,1.0205,1.0205,-0.6426
2020-02-19,1.0186,1.0186,-0.1862
2020-02-20,1.03,1.03,1.1192
2020-02-21,1.0307,1.0307,0.068
2020-02-24,1.0199,1.0199,-1.0478
2020-02-25,1.0098,1.0098,-0.9903
2020-02-26,1.0161,1.0161,0.6239
2020-02-27,1.0218,1.0218,0.561
2020-02-28,0.9993,0.9993,-2.202
2020-03-02,1.0326,1.0326,3.3323
2020-03-03,1.0313,1.0313,-0.1259
2020-03-04,1.0443,1.0443,1.2605
2020-03-05,1.0562,1.0562,1.1395
2020-03-06,1.0411,1.0411,-1.4297
2020-03-09,1.0164,1.0164,-2.3725
2020-03-10,1.0275,1.0275,1.0921
2020-03-11,1.0174,1.0174,-0.983
2020-03-12,1.0043,1.0043,-1.2876
2020-03-13,0.9899,0.9899,-1.4338
2020-03-16,0.9664,0.9664,-2.374
2020-03-17,0.9642,0.9642,-0.2276
2020-03-18,0.9493,0.9493,-1.5453
2020-03-19,0.9334,0.9334,-1.6749
2020-03-20,0.9484,0.9484,1.607
2020-03-23,0.923,0.923,-2.6782
2020-03-24,0.9453,0.9453,2.416
2020-03-25,0.9654,0.9654,2.1263
2020-03-26,0.9591,0.9591,-0.6526
2020-03-27,0.9646,0.9646,0.5735
2020-03-30,0.9585,0.9585,-0.6324
2020-03-31,0.955,0.955,-0.3652
2020-04-01,0.9514,0.9514,-0.377
2020-04-02,0.9602,0.9602,0.925
2020-04-03,0.957,0.957,-0.3333
2020-04-07,0.9707,0.9707,1.4316
2020-04-08,0.9686,0.9686,-0.2163
2020-04-09,0.9708,0.9708,0.2271
2020-04-10,0.9663,0.9663,-0.4635
2020-04-13,0.967,0.967,0.0724
2020-04-14,0.9752,0.9752,0.848
2020-04-15,0.9697,0.9697,-0.564
2020-04-16,0.9685,0.9685,-0.1237
2020-04-17,0.9725,0.9725,0.413
2020-04-20,0.9759,0.9759,0.3496
2020-04-21,0.9691,0.9691,-0.6968
2020-04-22,0.9697,0.9697,0.0619
2020-04-23,0.9678,0.9678,-0.1959
2020-04-24,0.9627,0.9627,-0.527
2020-04-27,0.9694,0.9694,0.696
2020-04-28,0.9694,0.9694,0
2020-04-29,0.986,0.986,1.7124
2020-04-30,0.9938,0.9938,0.7911
2020-05-06,0.9913,0.9913,-0.2516
2020-05-07,0.9931,0.9931,0.1816
2020-05-08,0.999,0.999,0.5941
2020-05-11,1.0043,1.0043,0.5305
2020-05-12,0.9987,0.9987,-0.5576
2020-05-13,1.0016,1.0016,0.2904
2020-05-14,0.99,0.99,-1.1581
2020-05-15,0.9869,0.9869,-0.3131
2020-05-18,0.9916,0.9916,0.4762
2020-05-19,0.9947,0.9947,0.3126
2020-05-20,0.99,0.99,-0.4725
2020-05-21,0.9884,0.9884,-0.1616
2020-05-22,0.9719,0.9719,-1.6694
2020-05-25,0.9752,0.9752,0.3395
2020-05-26,0.9778,0.9778,0.2666
2020-05-27,0.9809,0.9809,0.317
2020-05-28,0.9868,0.9868,0.6015
2020-05-29,0.9809,0.9809,-0.5979
2020-06-01,0.9978,0.9978,1.7229
2020-06-02,1.0029,1.0029,0.5111
2020-06-03,1.0014,1.0014,-0.1496
2020-06-04,1.0037,1.0037,0.2297
2020-06-05,1.0031,1.0031,-0.0598
2020-06-08,1.0084,1.0084,0.5284
2020-06-09,1.0129,1.0129,0.4463
2020-06-10,1.0097,1.0097,-0.3159
2020-06-11,1.0013,1.0013,-0.8319
2020-06-12,1.0033,1.0033,0.1997
2020-06-15,0.9937,0.9937,-0.9568
2020-06-16,1.0067,1.0067,1.3082
2020-06-17,1.0086,1.0086,0.1887
2020-06-18,1.0139,1.0139,0.5255
2020-06-19,1.0177,1.0177,0.3748
2020-06-22,1.011,1.011,-0.6583
2020-06-23,1.008,1.008,-0.2967
2020-06-24,1.0129,1.0129,0.4861
2020-06-29,1.008,1.008,-0.4838
2020-06-30,1.0173,1.0173,0.9226
2020-07-01,1.0417,1.0417,2.3985
2020-07-02,1.0697,1.0697,2.6879
2020-07-03,1.085,1.085,1.4303
2020-07-06,1.1522,1.1522,6.1935
2020-07-07,1.1476,1.1476,-0.3992
2020-07-08,1.1551,1.1551,0.6535
2020-07-09,1.1668,1.1668,1.0129
2020-07-10,1.1434,1.1434,-2.0055
2020-07-13,1.1669,1.1669,2.0553
2020-07-14,1.1623,1.1623,-0.3942
2020-07-15,1.1477,1.1477,-1.2561
2020-07-16,1.1319,1.1319,-1.3767
2020-07-17,1.1315,1.1315,-0.0353
2020-07-20,1.1748,1.1748,3.8268
2020-07-21,1.1718,1.1718,-0.2554
2020-07-22,1.1722,1.1722,0.0341
2020-07-23,1.1623,1.1623,-0.8446
2020-07-24,1.1266,1.1266,-3.0715
2020-07-27,1.122,1.122,-0.4083
2020-07-28,1.1275,1.1275,0.4902
2020-07-29,1.1481,1.1481,1.8271
2020-07-30,1.1492,1.1492,0.0958
2020-07-31,1.1626,1.1626,1.166
2020-08-03,1.1882,1.1882,2.202
2020-08-04,1.1906,1.1906,0.202
2020-08-05,1.1845,1.1845,-0.5123
2020-08-06,1.1853,1.1853,0.0675
2020-08-07,1.1827,1.1827,-0.2194
2020-08-10,1.1932,1.1932,0.8878
2020-08-11,1.1884,1.1884,-0.4023
2020-08-12,1.1859,1.1859,-0.2104
2020-08-13,1.1919,1.1919,0.5059
2020-08-14,1.2005,1.2005,0.7215
2020-08-17,1.2301,1.2301,2.4656
2020-08-18,1.2314,1.2314,0.1057
2020-08-19,1.2237,1.2237,-0.6253
2020-08-20,1.2117,1.2117,-0.9806
2020-08-21,1.2139,1.2139,0.1816
2020-08-24,1.2176,1.2176,0.3
2020-08-25,1.214,1.214,-0.3
2020-08-26,1.1964,1.1964,-1.45
2020-08-27,1.1971,1.1971,0.06
2020-08-28,1.2127,1.2127,1.3
2020-08-31,1.2015,1.2015,-0.92
2020-09-01,1.1988,1.1988,-0.22
2020-09-02,1.1945,1.1945,-0.36
2020-09-03,1.189,1.189,-0.46
2020-09-04,1.1832,1.1832,-0.49
2020-09-07,1.1691,1.1691,-1.19
2020-09-08,1.1771,1.1771,0.68
2020-09-09,1.1571,1.1571,-1.7
2020-09-10,1.1529,1.1529,-0.36
2020-09-11,1.1556,1.1556,0.23
2020-09-14,1.1563,1.1563,0.06
2020-09-15,1.1599,1.1599,0.31
2020-09-16,1.1646,1.1646,0.41
2020-09-17,1.1642,1.1642,-0.03
2020-09-18,1.1885,1.1885,2.09
2020-09-21,1.1817,1.1817,-0.57
2020-09-22,1.1649,1.1649,-1.42
2020-09-23,1.164,1.164,-0.08
2020-09-24,1.1457,1.1457,-1.57
2020-09-25,1.1401,1.1401,-0.49
2020-09-28,1.1441,1.1441,0.35
2020-09-29,1.1449,1.1449,0.07
2020-09-30,1.1377,1.1377,-0.63
2020-10-09,1.1564,1.1564,1.64
2020-10-12,1.1768,1.1768,1.76
2020-10-13,1.1785,1.1785,0.14
2020-10-14,1.1742,1.1742,-0.36
2020-10-15,1.173,1.173,-0.1
2020-10-16,1.1827,1.1827,0.83
2020-10-19,1.1767,1.1767,-0.51
2020-10-20,1.1747,1.1747,-0.17
2020-10-21,1.1756,1.1756,0.08
2020-10-22,1.1701,1.1701,-0.47
2020-10-23,1.1663,1.1663,-0.32
2020-10-26,1.1633,1.1633,-0.26
2020-10-27,1.1618,1.1618,-0.13
2020-10-28,1.1572,1.1572,-0.4
2020-10-29,1.1653,1.1653,0.7
2020-10-30,1.1507,1.1507,-1.25
2020-11-02,1.1604,1.1604,0.84
2020-11-03,1.1733,1.1733,1.11
2020-11-04,1.1794,1.1794,0.52
2020-11-05,1.1939,1.1939,1.23
2020-11-06,1.1998,1.1998,0.49
2020-11-09,1.2191,1.2191,1.61
2020-11-10,1.2139,1.2139,-0.43
2020-11-11,1.2199,1.2199,0.49
2020-11-12,1.225,1.225,0.42
2020-11-13,1.2138,1.2138,-0.91
2020-11-16,1.2417,1.2417,2.3
2020-11-17,1.2451,1.2451,0.27
2020-11-18,1.2516,1.2516,0.52
2020-11-19,1.2439,1.2439,-0.62
2020-11-20,1.2485,1.2485,0.37
2020-11-23,1.267,1.267,1.48
2020-11-24,1.2605,1.2605,-0.51
2020-11-25,1.2429,1.2429,-1.4
2020-11-26,1.2442,1.2442,0.1
2020-11-27,1.2529,1.2529,0.7
2020-11-30,1.2429,1.2429,-0.8
2020-12-01,1.2559,1.2559,1.05
2020-12-02,1.257,1.257,0.09
2020-12-03,1.2438,1.2438,-1.05
2020-12-04,1.2406,1.2406,-0.26
2020-12-07,1.2247,1.2247,-1.28
2020-12-08,1.2231,1.2231,-0.13
2020-12-09,1.2076,1.2076,-1.27
2020-12-10,1.2068,1.2068,-0.07
2020-12-11,1.2023,1.2023,-0.37
2020-12-14,1.1951,1.1951,-0.6
2020-12-15,1.1922,1.1922,-0.24
2020-12-16,1.1874,1.1874,-0.4
2020-12-17,1.1944,1.1944,0.59
2020-12-18,1.2018,1.2018,0.62
2020-12-21,1.2003,1.2003,-0.12
2020-12-22,1.1749,1.1749,-2.12
2020-12-23,1.1748,1.1748,-0.01
2020-12-24,1.1669,1.1669,-0.67
2020-12-25,1.1741,1.1741,0.62
2020-12-28,1.1705,1.1705,-0.31
2020-12-29,1.1658,1.1658,-0.4
2020-12-30,1.1691,1.1691,0.28
2020-12-31,1.1748,1.1748,0.49
2021-01-04,1.1672,1.1672,-0.65
2021-01-05,1.1666,1.1666,-0.05
2021-01-06,1.1763,1.1763,0.83
2021-01-07,1.1767,1.1767,0.03
2021-01-08,1.18,1.18,0.28
2021-01-11,1.1693,1.1693,-0.91
2021-01-12,1.1697,1.1697,0.03
2021-01-13,1.1684,1.1684,-0.11
2021-01-14,1.1667,1.1667,-0.15
2021-01-15,1.1734,1.1734,0.57
2021-01-18,1.1813,1.1813,0.67
2021-01-19,1.1922,1.1922,0.92
2021-01-20,1.1811,1.1811,-0.93
2021-01-21,1.1811,1.1811,0
2021-01-22,1.1627,1.1627,-1.56
2021-01-25,1.1506,1.1506,-1.04
2021-01-26,1.1479,1.1479,-0.23
2021-01-27,1.1509,1.1509,0.26
2021-01-28,1.1394,1.1394,-1
2021-01-29,1.1386,1.1386,-0.07
2021-02-01,1.1486,1.1486,0.88
2021-02-02,1.1443,1.1443,-0.37
2021-02-03,1.1403,1.1403,-0.35
2021-02-04,1.1377,1.1377,-0.23
2021-02-05,1.1541,1.1541,1.44
2021-02-08,1.1547,1.1547,0.05
2021-02-09,1.1593,1.1593,0.4
2021-02-10,1.1643,1.1643,0.43
2021-02-18,1.1871,1.1871,1.96
2021-02-19,1.2065,1.2065,1.63
2021-02-22,1.216,1.216,0.79
2021-02-23,1.2067,1.2067,-0.76
2021-02-24,1.2048,1.2048,-0.16
2021-02-25,1.2292,1.2292,2.03
2021-02-26,1.207,1.207,-1.81
2021-03-01,1.2232,1.2232,1.34
2021-03-02,1.2155,1.2155,-0.63
2021-03-03,1.2406,1.2406,2.06
2021-03-04,1.2422,1.2422,0.13
2021-03-05,1.2256,1.2256,-1.34
2021-03-08,1.2197,1.2197,-0.48
2021-03-09,1.208,1.208,-0.96
2021-03-10,1.2,1.2,-0.66
2021-03-11,1.2286,1.2286,2.38
2021-03-12,1.2515,1.2515,1.86
2021-03-15,1.259,1.259,0.6
2021-03-16,1.2631,1.2631,0.33
2021-03-17,1.2554,1.2554,-0.61
2021-03-18,1.2576,1.2576,0.18
2021-03-19,1.2429,1.2429,-1.17
2021-03-22,1.2559,1.2559,1.05
2021-03-23,1.2415,1.2415,-1.15
2021-03-24,1.2269,1.2269,-1.18
2021-03-25,1.2241,1.2241,-0.23
2021-03-26,1.2333,1.2333,0.75
2021-03-29,1.2542,1.2542,1.69
2021-03-30,1.2507,1.2507,-0.28
2021-03-31,1.2506,1.2506,-0.01
2021-04-01,1.2569,1.2569,0.5
2021-04-02,1.2457,1.2457,-0.89
2021-04-06,1.2455,1.2455,-0.02
2021-04-07,1.2574,1.2574,0.96
2021-04-08,1.255,1.255,-0.19
2021-04-09,1.2523,1.2523,-0.22
2021-04-12,1.2553,1.2553,0.24
2021-04-13,1.2472,1.2472,-0.65
