date,portfolio_value,holding_code,holding_name,cash,money_shares,action
2026-01-05,10000.0,513530,华泰柏瑞港股通红利ETF,0,0.0,买入 513530
2026-01-06,10059.720062208398,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-07,10055.987558320374,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-08,10018.662519440126,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-09,10036.080870917574,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-12,10046.656298600312,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-13,10082.737169517886,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-14,10094.556765163297,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-15,10101.39968895801,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-16,10000.0,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-19,9969.517884914465,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-20,10011.819595645413,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-21,9957.698289269052,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-22,10074.650077760498,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-23,10004.976671850702,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-26,10070.295489891136,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-27,10170.45101088647,513530,华泰柏瑞港股通红利ETF,0,0.0,
2026-01-28,10410.575427682737,563020,易方达红利低波 ETF,0,0.0,换仓 513530 → 563020
2026-01-29,10560.732229532905,563020,易方达红利低波 ETF,0,0.0,
2026-01-30,10552.735713458042,563020,易方达红利低波 ETF,0,0.0,
2026-02-02,10418.5719437576,563020,易方达红利低波 ETF,0,0.0,
2026-02-03,10399.913406249592,563020,易方达红利低波 ETF,0,0.0,
2026-02-04,10557.17822238852,563020,易方达红利低波 ETF,0,0.0,
2026-02-05,10676.237461725339,563020,易方达红利低波 ETF,0,0.0,
2026-02-06,10640.697390281512,563020,易方达红利低波 ETF,0,0.0,
2026-02-09,10694.007497447252,563020,易方达红利低波 ETF,0,0.0,
2026-02-10,10720.66255103012,563020,易方达红利低波 ETF,0,0.0,
2026-02-11,10749.983109971277,563020,易方达红利低波 ETF,0,0.0,
2026-02-12,10651.35941171466,563020,易方达红利低波 ETF,0,0.0,
2026-02-13,10538.519684880512,563020,易方达红利低波 ETF,0,0.0,
2026-02-24,10605.157318837686,563020,易方达红利低波 ETF,0,0.0,
2026-02-25,10589.164286687965,563020,易方达红利低波 ETF,0,0.0,
2026-02-26,10567.840243821669,563020,易方达红利低波 ETF,0,0.0,
2026-02-27,10600.714809907207,563020,易方达红利低波 ETF,0,0.0,
2026-03-02,10704.6695188804,563020,易方达红利低波 ETF,0,0.0,
2026-03-03,10801.516213564824,563020,易方达红利低波 ETF,0,0.0,
2026-03-04,10665.57544029219,563020,易方达红利低波 ETF,0,0.0,
2026-03-05,10693.118995661156,563020,易方达红利低波 ETF,0,0.0,
2026-03-06,10747.31760461299,563020,易方达红利低波 ETF,0,0.0,
2026-03-09,10752.648615329563,563020,易方达红利低波 ETF,0,0.0,
2026-03-10,10721.551052816218,563020,易方达红利低波 ETF,0,0.0,
2026-03-11,10730.436070677173,563020,易方达红利低波 ETF,0,0.0,
2026-03-12,10789.077188559486,563020,易方达红利低波 ETF,0,0.0,
2026-03-13,10810.40123142578,563020,易方达红利低波 ETF,0,0.0,
2026-03-16,10807.735726067494,563020,易方达红利低波 ETF,0,0.0,
2026-03-17,10832.613776078173,563020,易方达红利低波 ETF,0,0.0,
2026-03-18,10793.519697489965,563020,易方达红利低波 ETF,0,0.0,
2026-03-19,10750.871611757373,563020,易方达红利低波 ETF,0,0.0,
